gov_region,region,brain_id,spec_id,alpha,mu,cost,RMSE_torsion_15,R2_torsion_15,RMSE_torsion_30,R2_torsion_30,RMSE_comp_ten,R2_comp_ten,nu,preconditioned,record_time,sample_name,protocol,orientation w.r.t. fiber direction,unnamed: 7,R2_min
BS,P,4,28,-16.69859569162118,322.00937304237203,0.0107087637157464,10.630706303533504,10.630706303533504,17.20479402241259,17.20479402241259,59.811066060112,59.811066060112,0.49,unconditioned,2020-06-04,HBE_04_28_P2a_P_10,P2,,,10.630706303533504
BS,P,3,2,-7.922839018768719,53.701454463583566,0.0058419537470656,3.342619892955479,0.8089243211970016,5.963494262665919,0.8545624993790749,7.115442657684465,0.9668008994060044,0.49,unconditioned,2020-04-27,HBE_03_02_P1_HS_44,P1,along,,0.8089243211970016
BS,P,3,2,-25.44688434777312,36.167740315724366,0.0076077368883942,2.35970436385647,0.8493738379259624,2.577412775232279,0.9520887095477584,10.704408134401335,0.8818093358798071,0.45,preconditioned,2020-04-27,HBE_03_02_P1_HS_44,P1,along,,0.8493738379259624
BS,P,5,15,-23.33048467530586,377.67331082329736,0.0448175672739189,5.3485541428171794,5.3485541428171794,68.11686811606391,68.11686811606391,82.6450569025228,82.6450569025228,0.45,preconditioned,2020-07-03,HBE_05_15_P2a_H_06,P2,transverse,,5.3485541428171794
BS,P,6,20,-15.81252991292432,400.6768306249354,0.018022380465598,15.497294262639835,15.497294262639835,41.42892508659119,41.42892508659119,31.68241661467673,31.68241661467673,0.45,unconditioned,2020-10-30,HBE_06_20_P2_HS,P2,along,,15.497294262639835
BS,P,3,2,-15.427517482956317,30.84097238867602,0.0095170673783463,3.300740464070271,0.7052811094436968,4.279690675366421,0.867902476497678,11.375726339497511,0.8665200221255162,0.49,preconditioned,2020-04-27,HBE_03_02_P1_HS_44,P1,along,,0.7052811094436968
BS,P,5,14,-13.369142665963771,251.74804235512,0.0028129000606628,7.274112349653056,7.274112349653056,9.150814890917925,9.150814890917925,15.56909674869349,15.56909674869349,0.49,unconditioned,2020-07-03,HBE_05_14_P2a_H_07,P2,along,,7.274112349653056
BS,P,5,14,-22.589794925376825,214.20229660621172,0.0124084287716847,4.553146519243563,4.553146519243563,20.40032601828131,20.40032601828131,22.777435917124564,22.777435917124564,0.45,preconditioned,2020-07-03,HBE_05_14_P2a_H_07,P2,along,,4.553146519243563
BS,P,5,14,-18.6485770589404,136.7560771185059,0.0076731835982839,13.28392718035026,13.28392718035026,14.540335415646425,14.540335415646425,14.251883406269531,14.251883406269531,0.49,preconditioned,2020-07-03,HBE_05_14_P2a_H_07,P2,along,,13.28392718035026
BS,P,3,3,-17.796040701272275,212.1170288710065,0.0507980291376911,8.175368835447719,8.175368835447719,28.871288232517912,28.871288232517912,23.57961837593894,23.57961837593894,0.38,unconditioned,2020-04-27,HBE_03_03_P1_HS_45,P1,along,,8.175368835447719
BS,P,3,3,-23.243901308637565,119.01089709624664,0.0589705874164447,3.167942416960752,0.9063657991900472,21.89214185820241,-0.251337749299364,22.215791440112483,0.949805665528728,0.45,preconditioned,2020-04-27,HBE_03_03_P1_HS_45,P1,along,,-0.251337749299364
BS,P,5,14,-18.01175779617917,339.3397355101492,0.0088575756121425,3.153969372259,3.153969372259,27.446402141678707,27.446402141678707,20.744467341100524,20.744467341100524,0.45,unconditioned,2020-07-03,HBE_05_14_P2a_H_07,P2,along,,3.153969372259
BS,P,5,15,-27.436220786020304,151.84878243047072,0.0033412234580765,17.76926114271291,17.76926114271291,12.807358854230824,12.807358854230824,19.4286758826664,19.4286758826664,0.49,preconditioned,2020-07-03,HBE_05_15_P2a_H_06,P2,transverse,,12.807358854230824
BS,P,3,3,-23.36851451608741,59.00570312014613,0.0148069377435918,4.408556000822907,0.818668742205553,3.848936944800234,0.9613206086470698,14.578498348907209,0.9783849270806904,0.49,preconditioned,2020-04-27,HBE_03_03_P1_HS_45,P1,along,,0.818668742205553
BS,P,3,3,-13.7993759584548,112.13961689066214,0.0079665024613268,4.005887652823691,0.907928800403608,4.536031964921176,0.968670806929378,9.805728894288409,0.9913753894370876,0.49,unconditioned,2020-04-27,HBE_03_03_P1_HS_45,P1,along,,0.907928800403608
BS,P,3,3,-17.97764448004066,155.54811081418342,0.0279634999170796,3.830198667947781,0.9158277622543628,16.98083425706758,0.560948927317738,12.768679573447644,0.9853758138167764,0.45,unconditioned,2020-04-27,HBE_03_03_P1_HS_45,P1,along,,0.560948927317738
BS,P,3,2,-15.281075275002877,86.66483477008563,0.0199415480490756,2.0129028677374947,2.0129028677374947,5.287265675057605,5.287265675057605,6.732722054881928,6.732722054881928,0.38,unconditioned,2020-04-27,HBE_03_02_P1_HS_44,P1,along,,2.0129028677374947
BG,Pa,2,15,-22.56511743961464,130.3864436151268,0.0307940893753673,4.696811668328808,0.9358342944028096,15.316858110628512,0.7805841068087981,16.017760164701965,0.9942829567717738,0.49,preconditioned,2019-11-15,HBE_02_15_P1_Pa,P1,,,0.7805841068087981
BG,Pa,2,15,-16.661882598719107,222.0945858131952,0.0647966459141559,1.7429961022736091,0.993978060680298,18.04369458246748,0.8057850979283998,27.41042044499425,0.988165655051415,0.49,unconditioned,2019-11-15,HBE_02_15_P1_Pa,P1,,,0.8057850979283998
BG,Pa,2,15,-18.608813433536856,474.39160635866943,0.0829424602865407,24.24303447657099,24.24303447657099,83.76231797148318,83.76231797148318,75.85158827572958,75.85158827572958,0.38,unconditioned,2019-11-15,HBE_02_15_P1_Pa,P1,,,24.24303447657099
BG,Pa,2,15,-19.731036206087456,337.80792591176606,0.3146566168298604,11.769239107292078,0.725438072191255,57.949378847444166,-1.003222482736525,41.8046821444096,0.9724727592605654,0.45,unconditioned,2019-11-15,HBE_02_15_P1_Pa,P1,,,-1.003222482736525
BG,Pa,1,4,-19.20297862199382,214.1775338332949,0.0560128157103404,2.7080131501310785,0.9833865075033152,23.06655400283929,0.6582393703305778,19.85315289112765,0.9828621194151816,0.45,preconditioned,2019-11-12,HBE_01_04_P1_Pa,P1,,,0.6582393703305778
BG,Pa,3,27,-16.08240179065603,259.2915900328512,0.0327850012891863,5.778450943020433,5.778450943020433,27.472002057235212,27.472002057235212,20.74856095078146,20.74856095078146,0.38,unconditioned,2020-04-29,HBE_03_27_P1_Pa_25,P1,,,5.778450943020433
